´úÂë,2.²úÆ·´úÂë1,2.²úÆ·´úÂë2,2.²úÆ·´úÂë3,2.²úÆ·´úÂë4,2.²úÆ·´úÂë5,5.¼ÆÁ¿µ¥Î»1,5.¼ÆÁ¿µ¥Î»2,5.¼ÆÁ¿µ¥Î»3,5.¼ÆÁ¿µ¥Î»4,5.¼ÆÁ¿µ¥Î»5,6.Êµ¼Ê²úÁ¿1,6.Êµ¼Ê²úÁ¿2,6.Êµ¼Ê²úÁ¿3,6.Êµ¼Ê²úÁ¿4,6.Êµ¼Ê²úÁ¿5,2.Ô­¸¨²ÄÁÏ´úÂë1,2.Ô­¸¨²ÄÁÏ´úÂë2,2.Ô­¸¨²ÄÁÏ´úÂë3,2.Ô­¸¨²ÄÁÏ´úÂë4,2.Ô­¸¨²ÄÁÏ´úÂë5,3.¼ÆÁ¿µ¥Î»1,3.¼ÆÁ¿µ¥Î»2,3.¼ÆÁ¿µ¥Î»3,3.¼ÆÁ¿µ¥Î»4,3.¼ÆÁ¿µ¥Î»5,4.Êµ¼ÊÊ¹ÓÃÁ¿1,4.Êµ¼ÊÊ¹ÓÃÁ¿2,4.Êµ¼ÊÊ¹ÓÃÁ¿3,4.Êµ¼ÊÊ¹ÓÃÁ¿4,4.Êµ¼ÊÊ¹ÓÃÁ¿5,6.Áò·Ý£¨Ô­Ãº£©,6.Áò·Ý£¨Ï´¾«Ãº£©,6.Áò·Ý£¨ÆäËûÏ´Ãº£©,6.Áò·Ý£¨ÐÍÃº£©,6.Áò·Ý£¨½¹Ì¿£©,6.Áò·Ý£¨½¹Â¯ÃºÆø£©,6.Áò·Ý£¨¸ßÂ¯ÃºÆø£©,6.Áò·Ý£¨ÌìÈ»Æø*£©,6.Áò·Ý£¨Òº»¯ÌìÈ»Æø*£©,6.Áò·Ý£¨Òº»¯Ê¯ÓÍÆø*£©,6.Áò·Ý£¨Á¶³§¸ÉÆø*£©,6.Áò·Ý£¨Ô­ÓÍ*£©,6.Áò·Ý£¨ÆûÓÍ*£©,6.Áò·Ý£¨ÃºÓÍ*£©,6.Áò·Ý£¨²ñÓÍ*£©,6.Áò·Ý£¨È¼ÁÏÓÍ*£©,6.Áò·Ý£¨ÆäËûÈ¼ÁÏ*£©,7.»Ò·Ý£¨Ô­Ãº£©,7.»Ò·Ý£¨Ï´¾«Ãº£©,7.»Ò·Ý£¨ÆäËûÏ´Ãº£©,7.»Ò·Ý£¨ÐÍÃº£©
520103100207G1520103G0012,3726,,,,,Ì¨,,,,,135,,,,,,372105,,,,¹«½ï,¹«½ï,¼þ,,,59,8,300,,,,,,,,,,,,,,,,,,,,,,,
520103100207G1520103G0013,3726,,,,,Á¾,,,,,220,,,,,,,,,,¹«½ï,¼þ,,,,240,1000,,,,,,,,,,,,,,,,,,,,,,,,
520103100207G1520103G0014,3726,,,,,Á¾,,,,,40,,,,,,,,,,¹«½ï,¼þ,,,,120,150,,,,,,,,,,,,,,,,,,,,,,,,
520103100207G1520103G0015,3726,,,,,Á¾,,,,,541,,,,,,372105,,,,¹«Éý,¹«Éý,¼þ,,,300,10,2100,,,,,,,,,,,,,,,,,,,,,,,
520103100207G1520103G0016,3726,,,,,Á¾,,,,,120,,,,,,,,,,¹«½ï,¼þ,,,,120,400,,,,,,,,,,,,,,,,,,,,,,,,
520103100207G1520103G0017,3726,,,,,Á¾,,,,,220,,,,,,372105,,,,¹«½ï,¹«½ï,,,,63,75,,,,,,,,,,,,,,,,,,,,,,,,
520103100207G1520103G0018,3726,,,,,Ì¨,,,,,255,,,,,,,,,,¹«½ï,¼þ,,,,58,700,,,,,,,,,,,,,,,,,,,,,,,,
520103100207G1520103G0019,3726,,,,,Á¾,,,,,130,,,,,,,,,,¹«½ï,¼þ,,,,150,500,,,,,,,,,,,,,,,,,,,,,,,,
520103100207G162220340000,222306,,,,,¶Ö,,,,,9320.95,,,,,222301,,,,,¶Ö,¶Ö,,,,10061.7,168.8,,,,3,,,,,,,,,,,,,,,,,20,,,
520103100207G162259758500,165002,,,,,¶Ö,¶Ö,,,,1450,700,,,,,,,,,¶Ö,,,,,2300,,,,,,,,,,,,,,,,,,,,,,,,,
520103100207G170960884900,27401101,27401101,,,,¶Ö,¶Ö,,,,70,50,,,,,271004,137006,,,¶Ö,¶Ö,¶Ö,,,61,30,30,,,,,,,,,,,,,,,,,,,,,,,
520103100207G177056727300,131511,,,,,¶Ö,,,,,360,,,,,131002,,,,,¶Ö,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,
520103100207G191446296500,3121,,,,,ÍòÁ¢·½Ã×,,,,,10,,,,,313504,461001,312301,,,¶Ö,¶Ö,¶Ö,,,60000,1500,43000,,,,,,,,,,,,,,,,,,,,,,,
520103100207G1L0326341500,139240,,,,,¶Ö,,,,,50,,,,,139103,,,,,¶Ö,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,
520103100208G121453118100,3175102001,,,,,Ç§¿Ë,,,,,0.22,,,,,,315205,,,,¹«½ï,¹«½ï,¹«½ï,,,109,43.6,65.4,,,,,,,,,,,,,,,,,,,,,,,
520103100208G170960416X00,272031,272031,,,,Æ¬¨MÇ§¿Ë,Æ¬¨MÇ§¿Ë,,,,3.63,5.29,,,,273001,,,,,¶Ö,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,
520103100209G121455076100,31311011,,,,,Íò¿é,,,,,110000,,,,,313102,,,,,ÍòÁ¢·½Ã×,,,,,1100,,,,,5,,,,,,,,,,,,,,,,,20,,,
520103100210G121453661X00,359111,,,,,Ç§¿Ë,Ì×,Ì×,Ì×,,20,5500,4000,2500,,322001,313405,355103,324028,266510,¶Ö,¶Ö,¶Ö,¶Ö,¶Ö,20,200,100,40,30,,,,,,,,,,,,,,,,,,,,,
520103100210G1520103G0027,13511161,13511101,13511121,,,¶Ö,¶Ö,¶Ö,,,5,1.5,1.5,,,135201,103001,,,,¶Ö,¶Ö,¶Ö,¶Ö,,9.8,0.3,0.2,0.2,,5,,,,,,,,,,,,,,,,,20,,,
520103100211G121453886900,,,,,,¶Ö,,,,,3152,,,,,,,,,,¶Ö,¶Ö,¶Ö,¶Ö,,2500,40,600,12,,,,,,0.5,,,,,,,,,,,,,,,,
520103100212G1520103G0021,3726,,,,,Ì¨,,,,,96,,,,,,,,,,¹«Éý,¼þ,,,,25,320,,,,,,,,,,,,,,,,,,,,,,,,
520103100212G1520103G0022,3726,,,,,Ì¨,,,,,120,,,,,,,,,,¹«Éý,¼þ,,,,100,420,,,,,,,,,,,,,,,,,,,,,,,,
520103100212G1520103G0023,3726,,,,,Ì¨,,,,,120,,,,,,,,,,¹«½ï,¼þ,,,,100,390,,,,,,,,,,,,,,,,,,,,,,,,
520103100212G1520103G0024,3726,,,,,Ì¨,,,,,100,,,,,,,,,,¹«½ï,¼þ,,,,60,300,,,,,,,,,,,,,,,,,,,,,,,,
520103100212G1520103G0025,3726,,,,,Ì¨,,,,,100,,,,,,,,,,¹«Éý,¼þ,,,,25,295,,,,,,,,,,,,,,,,,,,,,,,,
520103100212G1520103G0026,3726,,,,,Ì¨,,,,,100,,,,,,,,,,¹«½ï,¼þ,,,,180,350,,,,,,,,,,,,,,,,,,,,,,,,
520103100212G166297774200,3726,,,,,Ì¨,,,,,30,,,,,,372105,,,,¹«Éý,¹«Éý,¼þ,,,160,160,200,,,,,,,,,,,,,,,,,,,,,,,
520103100212G172210974500,2414,,,,,Íò¼þ/Äê,,,,,9,,,,,,267302,267202,,,¹«½ï,¹«½ï,¹«½ï,,,2400,9600,294000,,,,,,,,,,,,,,,,,,,,,,,
520103100212G173661075X00,3726,,,,,Ì¨,,,,,600,,,,,,251103,,,,¹«Éý,¹«½ï,¼þ,,,60,20,5000,,,,,,,,,,,,,,,,,,,,,,,
520103100212G178018508700,3726,,,,,Ì¨,,,,,1500,,,,,,251103,,,,¹«Éý,¹«½ï,¼þ,,,500,50,12000,,,,,,,,,,,,,,,,,,,,,,,
520111000000G121445598300,,,,,,ÍòÌ×,ÍòÌ×,ÍòÌ×,,,3,2.5,60,,,357404,335308,372511,,,¶Ö,¶Ö,¶Ö,,,1400,4,5,,,,,,,,,,,,,,,,,,,,,,,
520111000000G166299456900,3617304002,,,,,Ì¨,,,,,10,,,,,351101,,,,,¶Ö,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
520111000000G167540767700,25123011,,,,,¶Ö,,,,,208,,,,,261413,341110,,,,¶Ö,¶Ö,,,,205,3.5,,,,,,,,,,,,,,,,,,,,,,,,
520111000000G168015101200,31734101,,,,,Ç§¿Ë,,,,,300000,,,,,316908,,,,,¶Ö,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,
520111000000G168015617100,31413010,31413020,3141303001,,,Æ½·½Ã×/Ç§¿Ë,Æ½·½Ã×/Ç§¿Ë,Æ½·½Ã×/Ç§¿Ë,,,15000,900,25000,,,314201,266507,291101,,,ÖØÁ¿Ïä,¶Ö,Æ½·½Ã×,,,41000,3,5000,,,,,,,,,,,,,,,,,,,,,,,
520111000000G169270522X00,17205103,,,,,Ã×/Ç§¿Ë,,,,,150000,,,,,171104,267110,,,,¶Ö,¶Ö,,,,12,3,,,,5,,,,,,,,,,,,,,,,,22,,,
520111000000G1L2100393200,1015401101,,,,,¶Ö,,,,,2,,,,,101904,,,,,¶Ö,,,,,23000,,,,,,,,,,,,,,,,,,,,,,,,,
520111001000 G167542079100,21301103,,,,,¼þ,,,,,20000,,,,,358102,,,,,¶Ö,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
520111001000G1520111G0330,3121601003,,,,,¿é/¶Ö,,,,,0.28,,,,,101102,312301,,,,¶Ö,¶Ö,,,,300,100,,,,,,,,,,,,,,,,,,,,,,,,
520111001000G167071885500,3725,,,,,Ì×/Ç§¿Ë,,,,,8000,,,,,341101,,,,,¶Ö,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,
520111001000G167540649800,3141308006,,,,,Ç§¿Ë,,,,,1800000,,,,,313510,,,,,¶Ö,,,,,1800,,,,,,,,,,,,,,,,,,,,,,,,,
520111001001G1520111G0029,14301502,,,,,¶Ö,,,,,108,,,,,143101,461001,,,,¶Ö,¶Ö,,,,72,40,,,,,,,,,,,,,,,,,,,,,,,,
520111001002G121456448500,3511203101,34823099,,,,Ì¨/Õô·¢Á¿¶Ö,Ç§¿Ë,,,,14,7,,,,351101,371102,351105,,,¶Ö,¶Ö,Ç§¿Ë,,,16.4,1,80,,,,,,,,,,,,,,,,,,,,,,,
520111001002G1520111G0024,14301101,,,,,¶Ö,,,,,33,,,,,143102,,,,,¶Ö,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,
520111001002G179525289200,3726,,,,,Á¾,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520111001200G1520111G0031,3726,,,,,Á¾,,,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520111001200G1520111G0033,3726,,,,,Á¾,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520111001200G1520111G0079,152199,,,,,Ç§Éý,,,,,5.4,,,,,152102,461001,,,,¶Ö,¶Ö,¶Ö,,,20,10,1.2,,,5,,,,,,,,,,,,,,,,,22,,,
520111001200G174114600500,10110109,,,,,¶Ö,,,,,28000,,,,,101103,,,,,¶Ö,,,,,32480,,,,,,,,,,,,,,,,,,,,,,,,,
520111001200G1L0327607200,3726,,,,,Á¾,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520111001201G121456736000,3591151099,3460,,,,Ç§¿Ë,¶Ö,,,,80000,20,,,,359101,,,,,¶Ö,,,,,100,,,,,5,,,,,,,,,,,,,,,,,22,,,
520111001201G1520111G0077,15215101,,,,,Ç§Éý,,,,,23.4,,,,,152103,461001,,,,¶Ö,¶Ö,¶Ö,,,47,20,28,,,5,,,,,,,,,,,,,,,,,22,,,
520111001201G1520111G0278,15215101,,,,,Ç§Éý,,,,,42.3,,,,,152103,461001,,,,¶Ö,¶Ö,¶Ö,,,86,30,51,,,5,,,,,,,,,,,,,,,,,22,,,
520111001201G1520111G0321,13920102,,,,,¶Ö,,,,,192,,,,,139201,461001,,,,¶Ö,¶Ö,,,,96,180,,,,5,,,,,,,,,,,,,,,,,22,,,
520111001201G1L1286525800,10110109,,,,,¶Ö,,,,,60000,,,,,101103,,,,,¶Ö,,,,,69600,,,,,,,,,,,,,,,,,,,,,,,,,
520111001202 G176137814700,1320112101,,,,,¶Ö,,,,,1402.5,,,,,132002,136213,149402,139107,,¶Ö,¶Ö,¶Ö,¶Ö,,1122,140.25,42,98.25,,,,,,,,,,,,,,,,,,,,,,
520111001202G112100517x00,3145802101,,,,,¸ö,,,,,10000,,,,,266619,,,,,¶Ö,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,
520111001202G121440114100,397275,3922,3940301199,,,¸ö,Ì¨,¸ö/Ç§·ü°²Ê±,,,16650,118,11000,,,394007,334011,406156,394008,346003,¶Ö,¶Ö,¶Ö,¶Ö,¹«½ï,250,7,11,30,100,,,,,,,,,,,,,,,,,,,,,
520111001202G121445598300,307007,,,,,Ì×,,,,,44237,,,,,,,,,,¶Ö,Ç§¿Ë,,,,1100,300,,,,,,,,,,,,,,,,,,,,,,,,
520111001202G121456148700,3726,,,,,Á¾,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520111001202G1520111G0025,14301502,,,,,¶Ö,,,,,40,,,,,143101,461001,,,,¶Ö,¶Ö,,,,35,15,,,,5,,,,,,,,,,,,,,,,,22,,,
520111001202G1520111G0027,14106103,,,,,¶Ö,,,,,72,,,,,139201,,,,,¶Ö,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,
520111001202G1520111G0030,3726,,,,,Á¾,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520111001202G1520111G0032,3726,,,,,Á¾,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520111001202G1520111G0035,3726,,,,,Á¾,,,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520111001202G1520111G0037,3726,,,,,Á¾,,,,,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520111001202G1520111G0038,3726,,,,,Á¾,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520111001202G1520111G0060,344110,3446601001,,,,¶Ö,Ç§¿Ë,,,,100,100000,,,,341101,,,,,¶Ö,Ç§¿Ë,,,,221,200,,,,2.72,,,,,,,,,,,,,,,,,14.69,,,
520111001202G1520111G0063,34553099,,,,,¶Ö/¸ö,,,,,1500,,,,,343101,,,,,¶Ö,¶Ö,,,,37.5,1,,,,,,,,,,,,,,,,,,,,,,,,
520111001202G168018413X00,3726,,,,,Ì¨,,,,,280,,,,,,,,,,Ç§¿Ë,Ç§¿Ë,¶Ö,,,250,25,3,,,,,,,,,,,,,,,,,,,,,,,
520111001202G168397163000,13,,,,,Ç§¿Ë,,,,,9000,,,,,103001,,,146102,152103,Ç§¿Ë,Ç§¿Ë,Ç§¿Ë,Ç§¿Ë,Ç§¿Ë,162,20,20,20,20,,,,,,,,,,,,,,,,,,,,,
520111001202G168842097700,31215001,,,,,¸ù/¶Ö,,,,,1900,,,,,312301,101102,101101,341101,,¶Ö,¶Ö,¶Ö,¶Ö,,200,300,400,40,,,,,,,,,,,,,,,,,,,,,,
520111001202G171431538100,14201199,14101102,,,,¶Ö,¶Ö,,,,214,406,,,,141101,142101,,,,¶Ö,¶Ö,¶Ö,¶Ö,¶Ö,276,198,149,15.1,11.4,,,,,,,,,,,,,,,,,,,,,
520111001202G171437996400,14503099,,,,,¶Ö,,,,,2.2,,,,,,,,,,¶Ö,¶Ö,,,,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,
520111001202G178978992x00,3141308006,36145002,,,,Ç§¿Ë,Ì¨,,,,1250000,900,,,,312301,,,,,¶Ö,,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,
520111001202G179526319600,3726,,,,,Á¾,,,,,810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520111001202G179529580900,3726,,,,,Á¾,,,,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520111001202G1L0326199700,3726,,,,,Á¾,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520111001202G1L0327605600,3726,,,,,Á¾,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520111001202G1L0327609900,3726,,,,,Á¾,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520111001202G1L1287353000,3726,,,,,Á¾,,,,,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520111001202G1L1287753100,3726,,,,,Á¾,,,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520111001203G121456545300,153021,,,,,¶Ö,,,,,19000,,,,,461001,,,,,¶Ö,,,,,19600,,,,,,,,,,,,,,,,,,,,,,,,,
520111001203G162221086200,1530210199,,,,,¶Ö,,,,,29934.8,,,,,461002,,,,,¶Ö,,,,,35000,,,,,,,,,,,,,,,,,,,,,,,,,
520111001203G175018444300,10110109,,,,,¶Ö,,,,,67000,,,,,101103,,,,,¶Ö,,,,,77720,,,,,,,,,,,,,,,,,,,,,,,,,
520111001203G176139715300,15302102,,,,,¶Ö,,,,,15062.55,,,,,461002,,,,,¶Ö,,,,,16000,,,,,,,,,,,,,,,,,,,,,,,,,
520111001203G1L0327101X00,10110109,,,,,¶Ö,,,,,30000,,,,,101103,,,,,¶Ö,,,,,34800,,,,,,,,,,,,,,,,,,,,,,,,,
520111001203G1L1285112000,3726,,,,,Á¾,,,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520111001203G1L1285350500,3726,,,,,Á¾,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520111001203G1L1288280800,10110109,,,,,¶Ö,,,,,28000,,,,,101103,,,,,¶Ö,,,,,32480,,,,,,,,,,,,,,,,,,,,,,,,,
520111001206G121456013400,2611520401,,,,,¶Ö,,,,,600,,,,,321002,261107,461001,,,¶Ö,¶Ö,¶Ö,,,500,40,66,,,,,,,,,,,,,,,,,,,,,,,
520111001206G121456312400,29302002,,,,,¶Ö,,,,,4000,,,,,313401,406104,314504,,291101,¶Ö,¶Ö,¶Ö,¶Ö,¶Ö,1300,840,1500,100,5,,,,,,,,,,,,,,,,,,,,,
520111001206G121646071900,1820300199,,,,,Ë«,,,,,16802500,,,,,291102,,,,,¶Ö,Æ½·½Ã×,,,,5544.82,280.93,,,,5,,,,,,,,,,,,,,,,,22,,,
520111001206G1520111G0026,14301101,,,,,¶Ö,,,,,8,,,,,143102,,,,,¶Ö,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,
520111001206G1520111G0034,3726,,,,,Á¾,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520111001206G1520111G0036,3726,,,,,Á¾,,,,,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520111001206G162243318500,29301007,,,,,Íò¼þ¨M¶Ö,,,,,600,,,,,374103,,,,,¶Ö,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,
520111001206G166298672900,2668,,,,,¶Ö,,,,,606,,,,,394006,,,,,¶Ö,,,,,606,,,,,,,,,,,,,,,,,,,,,,,,,
520111001206G166697378100,3135405003,,,,,Ç§¿Ë,,,,,60,,,,,314101,,261417,461001,,¶Ö,¶Ö,¶Ö,¶Ö,,40,20,70,180,,,,,,,,,,,,,,,,,,,,,,
520111001206G170960552500,1371405105,1371405102,,,,¶Ö,¶Ö,,,,260,160,,,,,,,,,¶Ö,¶Ö,,,,263,161,,,,,,,,,,,,,,,,,,,,,,,,
520111001206G172210406300,2664110103,2664110102,,,,¶Ö,¶Ö,,,,13774,7006,,,,,,,,,¶Ö,¶Ö,¶Ö,¶Ö,,19364.3,883.5,347.5,352.2,,5,,,,,,,,,,,,,,,,,22,,,
520111001206G173662823900,37254099,,,,,Ç§¿Ë,,,,,40000,,,,,406156,,,,,¶Ö,,,,,222.59,,,,,,,,,,,,,,,,,,,,,,,,,
520111001206G174572751100,3613101104,3613101104,37254099,,,Ì¨,Ì¨,Ç§¿Ë,,,1000,120,2200,,,361101,314802,361104,,,¶Ö,¶Ö,¶Ö,,,760,2,0.5,,,,,,,,,,,,,,,,,,,,,,,
520111001206G176136607400,303051,,,,,¶Ö,,,,,380,,,,,432004,266620,,,,¶Ö,¶Ö,,,,300,85,,,,,,,,,,,,,,,,,,,,,,,,
520111001206G177057195000,14835101,1483110203,,,,¶Ö,¶Ö,,,,80,90,,,,149201,,,,,Ç§¿Ë,Ç§¿Ë,Ç§¿Ë,Ç§¿Ë,Ç§¿Ë,15000,300,9000,10500,3225,,,,,,,,,,,,,,,0.7,,,,,,
520111001206G177534673600,1371604199,1371605103,,,,¶Ö,¶Ö,,,,100,100,,,,,,,,,¶Ö,¶Ö,¶Ö,¶Ö,¹«½ï,100,100,3,3,10,,,,,,,,,,,,,,,,,,,,,
520111001206G1L0327599300,14503099,,,,,¶Ö,,,,,30,,,,,,,,,,¶Ö,¶Ö,¶Ö,¶Ö,,9,8,15,10,,,,,,,,,,,,,,,,,,,,,,
520111001206G1L0328206900,3726,,,,,Á¾,,,,,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520111001206G1L1286314800,153011,,,,,¶Ö,,,,,54,,,,,461001,134004,,,,¶Ö,¶Ö,¶Ö,,,54,2.5,1.5,,,,,,,,,,,,,,,,,,,,,,,
520111001206G1X2224612400,2611480307,,,,,¶Ö,,,,,2000,,,,,263162,321002,359109,,,¶Ö,¶Ö,¶Ö,,,1200,500,300,,,,,,,,,,,,,,,,,,,,,,,
520111002000 G1L0325719700,10110109,10110109,,,,¶Ö,¶Ö,,,,15,15,,,,101103,,,,,Á¢·½,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,
520111002000G1520111G0331,10110109,,,,,¶Ö,,,,,2500,,,,,101904,,,,,¶Ö,,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,
520111002002G1520111G0016,14301101,,,,,¶Ö,,,,,75,,,,,143102,461001,,,,¶Ö,¶Ö,,,,73,5,,,,,,,,,,,,,,,,,,,,,,,,
520111002003G121440515000,293010,3761901102,,,,Íò¼þ¨M¶Ö,Ç§¿Ë,,,,11.97,1800,,,,316102,358101,,,,¶Ö,¶Ö,,,,12.6,2.5,,,,,,,,,,,,,,,,,,,,,,,,
520111002003G1520111G0015,131121,,,,,¶Ö,,,,,360,,,,,131001,,,,,¶Ö,,,,,528,,,,,,,,,,,,,,,,,,,,,,,,,
520111002003G1520111G0017,13924001,,,,,¶Ö,,,,,44,,,,,139201,461001,,,,¶Ö,¶Ö,,,,40,70,,,,5,,,,,,,,,,,,,,,,,22,,,
520111002003G171436750900,26452011,,,,,ÍòÃ×,,,,,3764,,,,,358101,291102,,,,¶Ö,¶Ö,¶Ö,¶Ö,¶Ö,2340,2436,1151,2062,2712,,,,,,,,,,,,,,,,,,,,,
520111002003G174113173700,3726,,,,,Á¾,,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520111002200G1520111G0013,141031,,,,,¶Ö,,,,,960000,,,,,141101,142101,,,461001,¶Ö,¶Ö,¶Ö,¶Ö,¶Ö,36,3.6,0.72,0.36,5,,,,,,,,,,,,,,,,,,,,,
520111002200G176139923900,31281111,,,,,Æ½·½Ã×/¶Ö,,,,,150000,,,,,261104,202907,139107,461001,,¶Ö,¶Ö,¶Ö,¶Ö,,780,6,1,100,,5,,,,,,,,,,,,,,,,,22,,,
520111002200G191456019400,3131101105,,,,,Ç§¿é/Ç§¿Ë,,,,,35000,,,,,313103,313102,461001,,,¶Ö,¶Ö,¶Ö,,,9500,70000,1000,,,5,,,,,,,,,,,,,,,,,22,,,
520111002200G1L1285876000,13916199,,,,,¶Ö,,,,,36,,,,,137006,,134004,,461002,¶Ö,¶Ö,¶Ö,¶Ö,¶Ö,12,7.2,2.4,2.4,12,5,,,,,,,,,,,,,,,,,22,,,
520111002201G170963851100,3131101101,,,,,Ç§¿é/Ç§¿Ë,,,,,30902,,,,,313102,313103,461001,,,¶Ö,¶Ö,¶Ö,,,35000,43000,17000,,,5,,,,,,,,,,,,,,,,,22,,,
520111002202G121456590400,3131101105,,,,,Ç§¿é/Ç§¿Ë,,,,,25000,,,,,313102,313103,461001,,,¶Ö,¶Ö,¶Ö,,,32000,30500,14000,,,5,,,,,,,,,,,,,,,,,22,,,
520111002202G1520111G0018,1015401101,,,,,¶Ö,,,,,2400,,,,,101904,,,,,¶Ö,,,,,4824,,,,,,,,,,,,,,,,,,,,,,,,,
520111002202G1520111G0019,1015401101,,,,,¶Ö,,,,,3000,,,,,101904,,,,,¶Ö,,,,,6030,,,,,,,,,,,,,,,,,,,,,,,,,
520111002202G1520111G0020,1015401101,,,,,¶Ö,,,,,4000,,,,,101904,,,,,¶Ö,,,,,8040,,,,,,,,,,,,,,,,,,,,,,,,,
520111002202G1520111G0021,1015401101,,,,,¶Ö,,,,,4500,,,,,101904,,,,,¶Ö,,,,,9045,,,,,,,,,,,,,,,,,,,,,,,,,
520111002202G1520111G0022,1015401101,,,,,¶Ö,,,,,5000,,,,,101904,,,,,¶Ö,,,,,10050,,,,,,,,,,,,,,,,,,,,,,,,,
520111002202G170950886400,1351110102,,,,,¶Ö,,,,,16.5,,,,,135101,,,,,ÍòÍ·,,,,,16.5,,,,,5,,,,,,,,,,,,,,,,,22,,,
520111002202G1L2825672100,101540,,,,,¶Ö,,,,,950,,,,,101904,,,,,¶Ö,,,,,950,,,,,,,,,,,,,,,,,,,,,,,,,
520111002202G1X2225046500,1015401101,,,,,¶Ö,,,,,6000,,,,,101904,,,,,¶Ö,,,,,12060,,,,,,,,,,,,,,,,,,,,,,,,,
520111002203G1L0325719700,10110109,,,,,¶Ö,,,,,60000,,,,,101103,,,,,¶Ö,,,,,69600,,,,,,,,,,,,,,,,,,,,,,,,,
520111002204G1121456301x0,3131101106,,,,,Ç§¿é/Ç§¿Ë,,,,,9310,,,,,313103,313102,461001,,,¶Ö,¶Ö,¶Ö,,,13965,13965,4655,,,5,,,,,,,,,,,,,,,,,22,,,
520111002204G121456301x00,3131101106,,,,,Ç§¿é/Ç§¿Ë,,,,,38000,,,,,313103,313102,461001,,,¶Ö,¶Ö,¶Ö,,,42550,52450,1000,,,5,,,,,,,,,,,,,,,,,22,,,
520111002204G1520111G0023,10131103,,,,,¶Ö,,,,,14000,,,,,101302,,,,,¶Ö,,,,,14000,,,,,,,,,,,,,,,,,,,,,,,,,
520111002204G172219044000,3131101101,,,,,Ç§¿é/Ç§¿Ë,,,,,120000,,,,,313103,313102,461001,,,¶Ö,¶Ö,¶Ö,,,120000,180000,20000,,,5,,,,,,,,,,,,,,,,,22,,,
520111002204G175535163400,357110,,,,,Ì¨,,,,,255,,,,,341101,354101,,,,¶Ö,¶Ö,Ì¨,¸¶,Ì¨,313,0.5,350,400,200,,,,,,,,,,,,,,,,,,,,,
520111002205G1520111G0014,14301101,,,,,¶Ö,,,,,36,,,,,143102,461001,,,,¶Ö,¶Ö,,,,40,3,,,,,,,,,,,,,,,,,,,,,,,,
